open_time,open_price,high_price,low_price,close_price,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-08-17 17:50:00,27967.01,27979.42,27960.39000000,27960.4,127.68447000,2023-08-17 17:50:00,3571288.82752150,2461,50.88756000,1423309.33419050,0
2023-08-17 17:55:00,27960.39,27974.0,27953.45000000,27974.0,150.11277000,2023-08-17 17:55:00,4197699.45074420,2858,72.06336000,2015100.25179940,0
2023-08-17 18:00:00,27973.99,28025.08,27971.66000000,28014.37,182.60985000,2023-08-17 18:00:00,5114170.71004570,3362,120.57679000,3376597.88393950,0
2023-08-17 18:05:00,28014.37,28014.37,27974.01000000,27980.65,127.99452000,2023-08-17 18:05:00,3582289.27458370,2722,50.19989000,1404809.45420890,0
2023-08-17 18:10:00,27980.65,27980.65,27962.00000000,27971.75,142.19055000,2023-08-17 18:10:00,3977004.81399070,2869,56.98785000,1593865.69065690,0
2023-08-17 18:15:00,27971.74,28003.0,27949.50000000,28002.99,164.31911000,2023-08-17 18:15:00,4596660.28980010,3558,77.74058000,2174843.87544010,0
2023-08-17 18:20:00,28002.99,28003.9,27974.60000000,27974.6,52.10039000,2023-08-17 18:20:00,1458426.97198100,1849,14.51695000,406323.17290570,0
2023-08-17 18:25:00,27974.61,27974.61,27957.67000000,27957.68,27.67391000,2023-08-17 18:25:00,773888.87912760,1552,12.47127000,348746.19778000,0
2023-08-17 18:30:00,27957.67,27958.42,27915.00000000,27915.01,179.89366000,2023-08-17 18:30:00,5026415.89179460,3565,55.97774000,1564018.41272910,0
2023-08-17 18:35:00,27915.0,27926.09,27878.90000000,27893.63,307.37040000,2023-08-17 18:35:00,8576030.81728640,5395,128.88897000,3596032.07224700,0
2023-08-17 18:40:00,27893.63,27923.35,27892.01000000,27900.01,132.40473000,2023-08-17 18:40:00,3695635.68548560,2890,65.98108000,1841525.12488290,0
2023-08-17 18:45:00,27900.01,27913.74,27864.74000000,27874.52,200.23875000,2023-08-17 18:45:00,5584010.70169700,3998,81.92280000,2284308.25572810,0
2023-08-17 18:50:00,27874.52,27911.33,27874.52000000,27892.74,174.58682000,2023-08-17 18:50:00,4870416.39028760,3479,103.39513000,2884026.15507890,0
2023-08-17 18:55:00,27892.73,27892.74,27869.84000000,27879.97,197.29884000,2023-08-17 18:55:00,5500251.80746220,3329,91.96559000,2563614.21275100,0
2023-08-17 19:00:00,27879.98,27903.19,27858.07000000,27903.18,169.90064000,2023-08-17 19:00:00,4736760.07351290,3928,79.40284000,2213797.41764760,0
2023-08-17 19:05:00,27903.18,27938.24,27903.18000000,27918.49,111.89317000,2023-08-17 19:05:00,3124569.82085260,3093,56.56790000,1579543.01899580,0
2023-08-17 19:10:00,27918.49,27938.0,27902.68000000,27937.99,106.65840000,2023-08-17 19:10:00,2977489.81581370,2430,55.79137000,1557475.34675610,0
2023-08-17 19:15:00,27937.99,27971.17,27921.88000000,27971.16,139.36393000,2023-08-17 19:15:00,3894223.10506090,3161,79.48358000,2221176.12464120,0
